steps,actions,rewards,states,agent_positions,transit_status,water_levels,fire_levels,final_destinations,transit_targets
0,"[4, 0, 0]",1.2000000000000002,"[2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 8.0, 8.0, 8.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['starter_0', 'starter_0', 'starter_0']","[False, False, False]","[5, 10, 15]","[50, 30, 40, 50, 45]","['None', 'None', 'None']","['None', 'None', 'None']"
1,"[9, 5, 9]",0.0,"[2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 8.0, 8.0, 8.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['starter_0', 'starter_0', 'starter_0']","[True, True, True]","[5, 10, 15]","[50, 30, 40, 50, 45]","['fire_4', 'fire_0', 'fire_0']","['depot_0', 'fire_0', 'fire_0']"
2,"[0, 3, 6]",12.5,"[3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 5.0, 8.0, 8.0, 5.0, 10.0, 15.0, 50.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'starter_0', 'starter_0']","[True, True, True]","[5, 10, 15]","[50, 30, 40, 50, 45]","['fire_4', 'fire_0', 'fire_0']","['depot_1', 'fire_0', 'fire_0']"
3,"[3, 7, 7]",0.4,"[3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 5.0, 0.0, 0.0, 5.0, 0.0, 0.0, 25.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'fire_0', 'fire_0']","[True, False, False]","[5, 0, 0]","[25, 30, 40, 50, 45]","['fire_4', 'None', 'None']","['depot_1', 'None', 'None']"
4,"[3, 6, 1]",0.0,"[3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 5.0, 0.0, 0.0, 5.0, 0.0, 0.0, 25.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_0', 'fire_0', 'fire_0']","[True, True, True]","[5, 0, 0]","[25, 30, 40, 50, 45]","['fire_4', 'depot_2', 'depot_2']","['depot_1', 'starter_0', 'starter_0']"
5,"[2, 3, 7]",0.0,"[6.0, 3.0, 5.0, 3.0, 7.0, 3.0, 0.0, 4.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 0.0, 9.0, 5.0, 9.0, 13.0, 3.0, 6.0, 10.0, 6.0, 0.0, 0.0, 5.0, 0.0, 0.0, 25.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_1', 'fire_0', 'fire_0']","[True, True, True]","[5, 0, 0]","[25, 30, 40, 50, 45]","['fire_4', 'depot_2', 'depot_2']","['depot_2', 'starter_0', 'starter_0']"
6,"[8, 3, 2]",0.0,"[6.0, 3.0, 5.0, 3.0, 7.0, 3.0, 0.0, 4.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 2.0, 7.0, 3.0, 7.0, 11.0, 1.0, 4.0, 8.0, 6.0, 8.0, 8.0, 5.0, 0.0, 0.0, 25.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_1', 'starter_0', 'starter_0']","[True, True, True]","[5, 0, 0]","[25, 30, 40, 50, 45]","['fire_4', 'depot_2', 'depot_2']","['depot_2', 'depot_0', 'depot_0']"
7,"[2, 9, 1]",0.0,"[6.0, 3.0, 5.0, 3.0, 7.0, 3.0, 0.0, 4.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 6.0, 5.0, 5.0, 5.0, 0.0, 0.0, 25.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_1', 'depot_0', 'depot_0']","[True, True, True]","[5, 0, 0]","[25, 30, 40, 50, 45]","['fire_4', 'depot_2', 'depot_2']","['depot_2', 'depot_1', 'depot_1']"
8,"[6, 0, 1]",0.0,"[6.0, 3.0, 5.0, 3.0, 7.0, 3.0, 0.0, 4.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 6.0, 5.0, 5.0, 5.0, 0.0, 0.0, 25.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_1', 'depot_0', 'depot_0']","[True, True, True]","[5, 0, 0]","[25, 30, 40, 50, 45]","['fire_4', 'depot_2', 'depot_2']","['depot_2', 'depot_1', 'depot_1']"
9,"[7, 4, 5]",0.0,"[10.0, 7.0, 9.0, 7.0, 3.0, 7.0, 4.0, 0.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 3.0, 6.0, 2.0, 6.0, 10.0, 0.0, 3.0, 7.0, 7.0, 5.0, 5.0, 5.0, 0.0, 0.0, 25.0, 30.0, 40.0, 50.0, 45.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","['depot_2', 'depot_0', 'depot_0']","[True, True, True]","[5, 0, 0]","[25, 30, 40, 50, 45]","['fire_4', 'depot_2', 'depot_2']","['fire_4', 'depot_1', 'depot_1']"
